"build","computer.platform","date","time","subject","group","blockcode","blocknum","trialcode","trialnum","parameters.immediateAmount","parameters.delayedAmount","values.trialCount","values.choiceNo","values.index","values.indexAdjustment","values.delayChoice","response","latency","values.ED50","values.k"
"5.0.14.0","win","051121","07:14:37","119","5601420","minuteDiscounting","1","choice","5","5","10","5","5","1","0.5","1hr","now","937","0.04167","24"
"5.0.14.0","win","051121","10:14:41","133","751679784","minuteDiscounting","1","choice","1","5","10","1","1","16","8","3 weeks","now","33241","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:14:41","133","751679784","minuteDiscounting","1","choice","2","5","10","2","2","8","4","1 day","now","915","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:14:41","133","751679784","minuteDiscounting","1","choice","3","5","10","3","3","4","2","4hr","now","623","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:14:41","133","751679784","minuteDiscounting","1","choice","4","5","10","4","4","2","1","2hr","now","451","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:14:41","133","751679784","minuteDiscounting","1","choice","5","5","10","5","5","1","0.5","1hr","now","778","0.04167","24"
"5.0.14.0","win","051121","10:14:53","129","958173294","minuteDiscounting","1","choice","1","5","10","1","1","16","8","3 weeks","now","8472","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:14:53","129","958173294","minuteDiscounting","1","choice","2","5","10","2","2","8","4","1 day","now","1175","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:14:53","129","958173294","minuteDiscounting","1","choice","3","5","10","3","3","4","2","4hr","now","546","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:14:53","129","958173294","minuteDiscounting","1","choice","4","5","10","4","4","2","1","2hr","now","673","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:14:53","129","958173294","minuteDiscounting","1","choice","5","5","10","5","5","1","0.5","1hr","now","446","0.04167","24"
"5.0.14.0","win","051121","10:18:04","145","740515121","minuteDiscounting","1","choice","1","5","10","1","1","16","8","3 weeks","now","2391","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:18:04","145","740515121","minuteDiscounting","1","choice","2","5","10","2","2","8","4","1 day","now","945","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:18:04","145","740515121","minuteDiscounting","1","choice","3","5","10","3","3","4","2","4hr","now","767","Not yet determined","Not yet determined"
"5.0.14.0","win","051121","10:18:04","145","740515121","minuteDiscounting","1","choice","4","5","10","4","4","2","1","2hr","now","2290","Not yet determined","Not yet determined"
